sourceX,sourceY,mapX,mapY,ArucoID,Enable
999.0,-684.0,554841.1494,4384929.446,6,1
323.0,-704.0,554659.3755,4384965.207,7,1
1330.0,-468.0,554857.2364,4385027.752,8,1
1324.0,-609.0,554851.117,4385006.563,9,1
1331.0,-339.0,554863.351,4385046.914,10,1
1329.0,-674.0,554849.8183,4384996.598,11,1
1327.0,-543.0,554853.6609,4385016.757,12,1
1334.0,-833.0,554845.4813,4384973.112,13,1
1332.0,-903.0,554842.7131,4384962.376,14,1
1305.0,-986.0,554834.5142,4384951.379,15,1
1192.0,-992.0,554814.8583,4384955.232,16,1
1097.0,-993.0,554798.7713,4384959.058,17,1
982.0,-994.0,554778.0951,4384962.381,18,1
661.0,-611.0,554758.4314,4384962.158,19,1
594.0,-614.0,554740.0567,4384964.402,20,1
678.0,-1006.0,554724.4757,4384970.567,21,1
388.0,-832.0,554681.6003,4385011.161,22,1
383.0,-969.0,554674.9464,4384990.218,23,1
389.0,-899.0,554679.0409,4385000.933,24,1
436.0,-494.0,554706.3519,4385009.351,25,1
511.0,-485.0,554726.7737,4385005.783,26,1
589.0,-478.0,554748.9484,4385000.394,27,1
966.0,-788.0,554785.2306,4384992.278,28,1
1198.0,-786.0,554825.2652,4384984.571,29,1
1188.0,-586.0,554828.9054,4385015.002,30,1
1006.0,-579.0,554797.9911,4385023.395,31,1
935.0,-579.0,554785.2442,4385026.497,32,1
770.0,-572.0,554755.604,4385034.646,33,1
674.0,-569.0,554738.7565,4385039.229,34,1
944.0,-420.0,554791.8752,4385050.488,35,1
1192.0,-433.0,554834.7799,4385038.196,36,1
1119.0,-428.0,554822.0005,4385042.289,37,1
1034.0,-424.0,554807.1968,4385046.382,38,1
771.0,-412.0,554761.4816,4385058.413,39,1
689.0,-404.0,554747.7133,4385062.194,40,1
596.0,-400.0,554732.8874,4385066.584,41,1
508.0,-394.0,554717.4566,4385070.504,42,1
1158.0,-264.0,554834.5107,4385066.045,43,1
1078.0,-251.0,554819.7014,4385071.149,44,1
977.0,-246.0,554802.0801,4385075.756,45,1
877.0,-237.0,554785.2794,4385080.299,46,1
780.0,-232.0,554768.143,4385084.417,47,1
698.0,-229.0,554753.5916,4385087.749,48,1
375.0,-594.0,554688.0963,4385047.292,49,1
380.0,-470.0,554693.3239,4385065.261,50,1
384.0,-343.0,554698.6998,4385082.87,51,1
385.0,-221.0,554701.2841,4385101.068,52,1
426.0,-129.0,554709.418,4385113.26,53,1
529.0,-110.0,554726.4845,4385112.769,54,1
860.0,-358.0,0.0,0.0,100,0
1388.0,-94.0,0.0,0.0,4,0
341.0,-59.0,0.0,0.0,5,0
771.0,-563.0,0.0,0.0,190,0
